"","structure.c.1L..2L..3L..4L..5L..6L..7L..8L..9L..10L..11L..12L.."
"1","Afghanistan"
"2","Albania"
"3","Algeria"
"4","Andorra"
"5","Angola"
"6","Anguilla"
"7","Antigua_and_Barbuda"
"8","Argentina"
"9","Armenia"
"10","Aruba"
"11","Australia"
"12","Austria"
"13","Azerbaijan"
"14","Bahamas"
"15","Bahrain"
"16","Bangladesh"
"17","Barbados"
"18","Belarus"
"19","Belgium"
"20","Belize"
"21","Benin"
"22","Bermuda"
"23","Bhutan"
"24","Bolivia"
"25","Bosnia_and_Herzegovina"
"26","Botswana"
"27","Brazil"
"28","British_Virgin_Islands"
"29","Brunei_Darussalam"
"30","Bulgaria"
"31","Burkina_Faso"
"32","Burundi"
"33","Cambodia"
"34","Cameroon"
"35","Canada"
"36","Cape_Verde"
"37","Cayman_Islands"
"38","Central_African_Republic"
"39","Chad"
"40","Chile"
"41","China"
"42","Colombia"
"43","Comoros"
"44","Congo"
"45","Costa_Rica"
"46","Cote_dIvoire"
"47","Croatia"
"48","Cuba"
"49","Curaçao"
"50","Cyprus"
"51","Czechia"
"52","Democratic_Republic_of_the_Congo"
"53","Denmark"
"54","Djibouti"
"55","Dominica"
"56","Dominican_Republic"
"57","Ecuador"
"58","Egypt"
"59","El_Salvador"
"60","Equatorial_Guinea"
"61","Eritrea"
"62","Estonia"
"63","Eswatini"
"64","Ethiopia"
"65","Falkland_Islands_(Malvinas)"
"66","Faroe_Islands"
"67","Fiji"
"68","Finland"
"69","France"
"70","French_Polynesia"
"71","Gabon"
"72","Gambia"
"73","Georgia"
"74","Germany"
"75","Ghana"
"76","Gibraltar"
"77","Greece"
"78","Greenland"
"79","Grenada"
"80","Guam"
"81","Guatemala"
"82","Guinea"
"83","Guinea_Bissau"
"84","Guyana"
"85","Haiti"
"86","Holy_See"
"87","Honduras"
"88","Hungary"
"89","Iceland"
"90","India"
"91","Indonesia"
"92","Iran"
"93","Iraq"
"94","Ireland"
"95","Isle_of_Man"
"96","Israel"
"97","Italy"
"98","Jamaica"
"99","Japan"
"100","Jordan"
"101","Kazakhstan"
"102","Kenya"
"103","Kuwait"
"104","Kyrgyzstan"
"105","Laos"
"106","Latvia"
"107","Lebanon"
"108","Lesotho"
"109","Liberia"
"110","Libya"
"111","Liechtenstein"
"112","Lithuania"
"113","Luxembourg"
"114","Madagascar"
"115","Malawi"
"116","Malaysia"
"117","Maldives"
"118","Mali"
"119","Malta"
"120","Mauritania"
"121","Mauritius"
"122","Mexico"
"123","Moldova"
"124","Monaco"
"125","Mongolia"
"126","Montenegro"
"127","Montserrat"
"128","Morocco"
"129","Mozambique"
"130","Myanmar"
"131","Namibia"
"132","Nepal"
"133","Netherlands"
"134","New_Caledonia"
"135","New_Zealand"
"136","Nicaragua"
"137","Niger"
"138","Nigeria"
"139","North_Macedonia"
"140","Northern_Mariana_Islands"
"141","Norway"
"142","Oman"
"143","Pakistan"
"144","Palestine"
"145","Panama"
"146","Papua_New_Guinea"
"147","Paraguay"
"148","Peru"
"149","Philippines"
"150","Poland"
"151","Portugal"
"152","Puerto_Rico"
"153","Qatar"
"154","Romania"
"155","Russia"
"156","Rwanda"
"157","Saint_Kitts_and_Nevis"
"158","Saint_Lucia"
"159","Saint_Vincent_and_the_Grenadines"
"160","San_Marino"
"161","Sao_Tome_and_Principe"
"162","Saudi_Arabia"
"163","Senegal"
"164","Serbia"
"165","Seychelles"
"166","Sierra_Leone"
"167","Singapore"
"168","Sint_Maarten"
"169","Slovakia"
"170","Slovenia"
"171","Somalia"
"172","South_Africa"
"173","South_Korea"
"174","South_Sudan"
"175","Spain"
"176","Sri_Lanka"
"177","Sudan"
"178","Suriname"
"179","Sweden"
"180","Switzerland"
"181","Syria"
"182","Taiwan"
"183","Tajikistan"
"184","Thailand"
"185","Timor_Leste"
"186","Togo"
"187","Trinidad_and_Tobago"
"188","Tunisia"
"189","Turkey"
"190","Turks_and_Caicos_islands"
"191","Uganda"
"192","Ukraine"
"193","United_Arab_Emirates"
"194","United_Kingdom"
"195","United_Republic_of_Tanzania"
"196","United_States_of_America"
"197","United_States_Virgin_Islands"
"198","Uruguay"
"199","Uzbekistan"
"200","Venezuela"
"201","Vietnam"
"202","Western_Sahara"
"203","Yemen"
"204","Zambia"
"205","Zimbabwe"
