"","c.Afghanistan...38.928346..Albania...2.877797..Algeria...43.851044.."
"Afghanistan",38.928346
"Albania",2.877797
"Algeria",43.851044
"Andorra",0.077265
"Angola",32.866272
"Anguilla",0.015003
"Antigua_and_Barbuda",0.097929
"Argentina",45.195774
"Armenia",2.963243
"Aruba",0.106766
"Australia",25.499884
"Austria",9.006398
"Azerbaijan",10.139177
"Bahamas",0.393244
"Bahrain",1.701575
"Bangladesh",164.689383
"Barbados",0.287375
"Belarus",9.449323
"Belgium",11.589623
"Belize",0.397628
"Benin",12.1232
"Bermuda",0.062278
"Bhutan",0.771608
"Bolivia",11.673021
"Bosnia_and_Herzegovina",3.280819
"Botswana",2.351627
"Brazil",212.559417
"British_Virgin_Islands",0.030231
"Brunei_Darussalam",0.437479
"Bulgaria",6.948445
"Burkina_Faso",20.903273
"Burundi",11.890784
"Cambodia",16.718965
"Cameroon",26.545863
"Canada",37.742154
"Cape_Verde",0.555987
"Cayman_Islands",0.065722
"Central_African_Republic",4.829767
"Chad",16.425864
"Chile",19.116201
"China",1439.323776
"Colombia",50.882891
"Comoros",0.869601
"Congo",5.518087
"Costa_Rica",5.094118
"Cote_dIvoire",26.378274
"Croatia",4.105267
"Cuba",11.326616
"Curaçao",0.164093
"Cyprus",1.207359
"Czechia",10.708981
"Democratic_Republic_of_the_Congo",89.561403
"Denmark",5.792202
"Djibouti",0.988
"Dominica",0.071986
"Dominican_Republic",10.84791
"Ecuador",17.643054
"Egypt",102.334404
"El_Salvador",6.486205
"Equatorial_Guinea",1.402985
"Eritrea",3.546421
"Estonia",1.326535
"Eswatini",1.160164
"Ethiopia",114.963588
"Falkland_Islands_(Malvinas)",0.00348
"Faroe_Islands",0.048863
"Fiji",0.896445
"Finland",5.54072
"France",65.273511
"French_Polynesia",0.280908
"Gabon",2.225734
"Gambia",2.416668
"Georgia",3.989167
"Germany",83.783942
"Ghana",31.07294
"Gibraltar",0.033691
"Greece",2.540905
"Greenland",0.05677
"Grenada",0.112523
"Guam",0.168775
"Guatemala",17.915568
"Guinea",13.132795
"Guinea_Bissau",1.968001
"Guyana",0.786552
"Haiti",11.402528
"Holy_See",0.000801
"Honduras",9.904607
"Hungary",9.660351
"Iceland",0.341243
"India",1380.004385
"Indonesia",273.523615
"Iran",83.992949
"Iraq",40.222493
"Ireland",4.937786
"Isle_of_Man",0.085033
"Israel",8.655535
"Italy",60.461826
"Jamaica",2.961167
"Japan",126.476461
"Jordan",10.203134
"Kazakhstan",18.776707
"Kenya",53.771296
"Kuwait",4.270571
"Kyrgyzstan",6.524195
"Laos",7.27556
"Latvia",1.886198
"Lebanon",6.825445
"Lesotho",2.142249
"Liberia",5.057681
"Libya",6.871292
"Liechtenstein",0.038128
"Lithuania",2.722289
"Luxembourg",0.625978
"Madagascar",27.691018
"Malawi",19.129952
"Malaysia",32.365999
"Maldives",0.540544
"Mali",20.250833
"Malta",0.441543
"Mauritania",4.649658
"Mauritius",1.271768
"Mexico",128.932753
"Moldova",4.033963
"Monaco",0.039242
"Mongolia",3.27829
"Montenegro",0.628066
"Montserrat",0.004992
"Morocco",36.91056
"Mozambique",31.255435
"Myanmar",54.4098
"Namibia",2.540905
"Nepal",29.136808
"Netherlands",17.134872
"New_Caledonia",0.285498
"New_Zealand",4.822233
"Nicaragua",6.624554
"Niger",24.206644
"Nigeria",206.139589
"North_Macedonia",2.083374
"Northern_Mariana_Islands",0.057559
"Norway",5.421241
"Oman",5.106626
"Pakistan",220.89234
"Palestine",5.101414
"Panama",4.314767
"Papua_New_Guinea",8.947024
"Paraguay",7.132538
"Peru",32.971854
"Philippines",109.581078
"Poland",37.846611
"Portugal",10.196709
"Puerto_Rico",2.860853
"Qatar",2.881053
"Romania",19.237691
"Russia",145.934462
"Rwanda",12.952218
"Saint_Kitts_and_Nevis",0.053199
"Saint_Lucia",0.183627
"Saint_Vincent_and_the_Grenadines",0.11094
"San_Marino",0.033931
"Sao_Tome_and_Principe",0.219159
"Saudi_Arabia",34.813871
"Senegal",16.743927
"Serbia",8.737371
"Seychelles",0.098347
"Sierra_Leone",7.976983
"Singapore",5.850342
"Sint_Maarten",0.042876
"Slovakia",5.459642
"Slovenia",2.078938
"Somalia",15.893222
"South_Africa",59.30869
"South_Korea",51.269185
"South_Sudan",11.193725
"Spain",46.754778
"Sri_Lanka",21.413249
"Sudan",43.84926
"Suriname",0.586632
"Sweden",10.099265
"Switzerland",8.654622
"Syria",17.500658
"Taiwan",23.816775
"Tajikistan",9.537645
"Thailand",69.799978
"Timor_Leste",1.318445
"Togo",8.278724
"Trinidad_and_Tobago",1.399488
"Tunisia",11.818619
"Turkey",84.339067
"Turks_and_Caicos_islands",0.038717
"Uganda",45.741007
"Ukraine",43.733762
"United_Arab_Emirates",9.890402
"United_Kingdom",2.540905
"United_Republic_of_Tanzania",59.734218
"United_States_of_America",331.002651
"United_States_Virgin_Islands",0.104425
"Uruguay",3.47373
"Uzbekistan",33.469203
"Venezuela",28.43594
"Vietnam",97.338579
"Western_Sahara",0.597339
"Yemen",29.825964
"Zambia",18.383955
"Zimbabwe",14.862924
